date,gold_close,gold_price_source,gold_price_benchmark_recommendation,gold_return_1w,gold_return_2w,gold_return_4w,gold_return_8w,gold_return_zscore_52w,gold_close_percentile_156w,gold_close_zscore_156w,gold_anomaly_2025_2026,gold_anomaly_reason,sample_split,gold_regime,mm_long,mm_short,mm_net,mm_net_change,mm_net_percentile_156w,mm_net_zscore_156w,producer_long,producer_short,producer_net,producer_net_percentile_156w,producer_net_zscore_156w,swap_long,swap_short,swap_net,swap_net_percentile_156w,swap_net_zscore_156w,total_open_interest,oi_change,oi_percentile_156w,oi_zscore_156w
2009-09-01,954.7000122070312,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,,,,,,,,False,,train_2009_2018,unclassified,157220,7182,150038,,,,34229,171642,-137413,,,35705,115000,-79295,,,384703,,,
2009-09-08,997.9000244140624,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.045249828904017075,,,,,,,False,,train_2009_2018,unclassified,194723,7174,187549,37511.0,,,35941,225602,-189661,,,36572,117708,-81136,,,451713,67010.0,,
2009-09-15,1005.0,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.007114916737382071,0.05268669440643192,,,,,,False,,train_2009_2018,unclassified,207387,5527,201860,14311.0,,,35158,227069,-191911,,,34830,127580,-92750,,,467892,16179.0,,
2009-09-22,1014.2000122070312,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.009154241002021113,0.016334289401926494,,,,,,False,,train_2009_2018,unclassified,208236,5170,203066,1206.0,,,34672,223434,-188762,,,33998,132846,-98848,,,467145,-747.0,,
2009-09-29,993.0999755859376,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.02080461089245822,-0.011840820312499889,0.04022202041260603,,,,,False,,train_2009_2018,unclassified,198175,3726,194449,-8617.0,,,40629,223576,-182947,,,34250,126537,-92287,,,454585,-12560.0,,
2009-10-06,1038.5999755859375,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.04581613243234095,0.024058334732030673,0.04078559993599851,,,,,False,,train_2009_2018,unclassified,215753,6378,209375,14926.0,,,35439,223592,-188153,,,35957,129668,-93711,,,484307,29722.0,,
2009-10-13,1064.199951171875,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.024648542449170474,0.07159397576662685,0.05890542405161692,,,,,False,,train_2009_2018,unclassified,232086,5232,226854,17479.0,,,36541,237816,-201275,,,39405,134056,-94651,,,504187,19880.0,,
2009-10-20,1057.800048828125,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.006013815671296108,0.01848649498701893,0.042989584003469306,,,,,False,,train_2009_2018,unclassified,233990,6715,227275,421.0,,,36742,236996,-200254,,,38833,136072,-97239,,,509678,5491.0,,
2009-10-27,1034.699951171875,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.02183786782940811,-0.027720354588923968,0.04188901078302121,0.08379589184240555,,,,False,,train_2009_2018,unclassified,217920,7549,210371,-16904.0,,,36640,225639,-188999,,,39014,133494,-94480,,,497479,-12199.0,,
2009-11-03,1084.300048828125,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.04793669662405442,0.025051993549591645,0.04400161208978015,0.08658184417301129,,,,False,,train_2009_2018,unclassified,227499,9278,218221,7850.0,,,36678,229511,-192833,,,41498,132517,-91019,,,493991,-3488.0,,
2009-11-09,1100.800048828125,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.01521719012909073,0.0638833485798338,0.03439212491594912,0.09532343166977619,,,,False,,train_2009_2018,unclassified,223460,8495,214965,-3256.0,,,37063,230201,-193138,,,46560,136206,-89646,,,530505,36514.0,,
2009-11-17,1138.800048828125,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.03452034730599207,0.050262840123360464,0.0765740180195067,0.1228554872031089,,,,False,,train_2009_2018,unclassified,222637,8401,214236,-729.0,,,37355,231739,-194384,,,47957,135119,-87162,,,533119,2614.0,,
2009-11-24,1165.5,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.023445688467743198,0.05877538908247004,0.1264135063309746,0.17359785384381343,,,,False,,train_2009_2018,unclassified,225366,3589,221777,7541.0,,,38162,241240,-203078,,,46498,149524,-103026,,,521253,-11866.0,,
2009-12-01,1199.0999755859375,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.028828807881542184,0.052950407597772475,0.10587468559268665,0.15453495452804367,,,,False,,train_2009_2018,unclassified,224030,6874,217156,-4621.0,,,41154,232019,-190865,,,44990,162356,-117366,,,521433,180.0,,
2009-12-08,1142.800048828125,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.04695182045208668,-0.01947657758204635,0.03815406807504407,0.07385839246628145,,,,False,,train_2009_2018,unclassified,213164,5353,207811,-9345.0,,,36817,229114,-192297,,,39735,146624,-106889,,,505652,-15781.0,,
2009-12-15,1122.4000244140625,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.017850913145288638,-0.06396460072847199,-0.014401144811100774,0.06107011968613918,,,,False,,train_2009_2018,unclassified,212517,4429,208088,277.0,,,37536,233192,-195656,,,39986,148121,-108135,,,504368,-1284.0,,
2009-12-22,1086.0,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.032430527104687745,-0.04970252572737477,-0.06821106821106826,0.04957963781676411,,,,False,,train_2009_2018,unclassified,206996,4813,202183,-5905.0,,,39181,230615,-191434,,,44188,138419,-94231,,,499233,-5135.0,,
2009-12-29,1097.0,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.01012891344383049,-0.022630099662838465,-0.08514717510193137,0.011712580097732905,,,,False,,train_2009_2018,unclassified,201751,5926,195825,-6358.0,,,41013,226658,-185645,,,44223,137520,-93297,,,491712,-7521.0,,
2010-01-05,1118.0999755859375,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.019234253040963933,0.029557988569003157,-0.02161364384567188,0.015715775790734687,,,,False,,train_2009_2018,unclassified,198506,6907,191599,-4226.0,,,40511,227533,-187022,,,45718,137247,-91529,,,507643,15931.0,,
2010-01-12,1128.9000244140625,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.009659287240808112,0.029079329456757064,0.0057911616701837865,-0.008693382498753843,,,,False,,train_2009_2018,unclassified,202180,11137,191043,-556.0,,,40771,237041,-196270,,,45191,131409,-86218,,,523266,15623.0,,
2010-01-19,1139.699951171875,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.009566769885949844,0.01931846530505288,0.049447468850713605,-0.02213646403099523,,,,False,,train_2009_2018,unclassified,200320,7695,192625,1582.0,,,43562,234633,-191071,,,46708,129284,-82576,,,528924,5658.0,,
2010-01-26,1097.9000244140625,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,-0.03667625563625976,-0.027460359048260274,0.000820441580731579,-0.08439659180413528,,,,False,,train_2009_2018,unclassified,182133,7766,174367,-18258.0,,,42580,215889,-173309,,,49961,125270,-75309,,,507565,-21359.0,,
2010-02-02,1117.4000244140625,COMEX GC futures proxy via Yahoo Finance GC=F,Keep GC futures for COT/COMEX alignment; use licensed LBMA PM or reliable XAUUSD spot for benchmark-grade v0.2 pricing.,0.017761180040420266,-0.0195664891754036,-0.0006260184126273272,-0.02222613171928789,,,,False,,train_2009_2018,unclassified,187024,8423,178601,4234.0,,,36275,199560,-163285,,,48602,129896,-81294,,,480860,-26705.0,,
